,,,,,,,,,9.1,6.5,4,3.5,0.5,5.7,,0.22037,0.58558,-8.4,,9.6,5.1,4.2,2.5,1.75,5.7859,3.5605,1.6541,2025,2024,2023,2022,21/19/18/17,-7.4,1.5,1.25,1,0.75,0.5,,-1.06848,1.56055,-0.49364,2.40336,-0.99436,1.46856,0.08569,-4.5022,-3.49112,1.63943,-0.02901,7.73187,3.52565,0.34867,1.22251,2.94483,3.11106
,Year,,Value,,,,,Win%,Last year win %,2 year prior win %,3 year prior win %,4 year prior win %,5 year prior win %,Consecutive seasons above .500 (MAX 5),Above .500 seasons in past 5 years,Above .500 seasons in past 5 years squared,Mid Major above 500 years,Below .500 years as a power conference school past 5 years,5 Year average,March Games 1 year prior (include first four),March Games 2 year prior,March Games 3 year prior,March Games 4 year prior,March Games 5 year prior,Previous Year Conference Tournament Wins,2 Year Prior Conference Tournament Wins,3 Year Prior Conference Tournament Wins,"March Location (seeding, NIT, CIT, CBI, Missed) last year","March Location (seeding, NIT, CIT, CBI, Missed) 2 year","March Location (seeding, NIT, CIT, CBI, Missed) 3 year","March Location (seeding, NIT, CIT, CBI, Missed) 4 year","March Location (seeding, NIT, CIT, CBI, Missed) 5 year",Power Misses,,,,,,Coaching changes in past 5 seasons (prior to 21-22 season for 26),Coaching Changes in last 5 years squared,March Wins past 5 seasons (not including first four),March Losses past 5 seasons (Inc first 4),March wins ^1/2,March Losses ^1/2,Upsets Made in past 5 March appearances,Upsets Made in past 5 March appearances Squared,Times upset in past 5 March appearances,Times upset in past 5 March appearances Squared,Regular season champs in past 5,Independent School once in past 5 seasons,Power School (Min 1 year in past 5 seasons),Power AQs in past 5,Number of Draft picks in past 5 season,20 Win Season Past 5 Seasons,25 Win Season Past 5 Seasons,30 Win Season Past 5 Seasons
Bethune Cookman,2026,17.215,17.215,,,,,0.4,0.515,0.5,0.375,0.3,0.533,1,2,4,2,0,0.4446,0,0,0,0,0,1,1,0,Missed,CBI,Missed,Missed,Missed,0,-2,8.5,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binghamton,2026,8.791,8.791,,,,,0.2,0.515,0.5,0.419,0.414,0.222,1,1,1,1,0,0.414,0,0,0,0,0,0,0,1,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise St.,2026,51.908,51.908,,,,,0.8,0.722,0.667,0.706,0.771,0.679,5,5,25,5,0,0.709,0,1,1,1,0,2,0,1,CBC,Ten Seed,Ten Seed,Eight Seed,NIT,0,10.5,11,11,11,9,0,0,0,3,0,1.73205080756888,0,0,0,0,1,0,0,0,0,4,2,0
Boston College,2026,-4.666,-4.666,,,,,0.5,0.387,0.556,0.485,0.394,0.2,0,1,1,0,4,0.4044,0,0,0,0,0,0,2,1,Missed,NIT,Missed,Missed,Missed,4,-2,9,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Boston University,2026,13.941,13.941,,,,,0.4,0.500,0.485,0.469,0.629,0.389,0,1,1,1,0,0.4944,0,0,0,0,0,0,1,0,Missed,Missed,Missed,CBI,Missed,0,-2,-2,-2,8.5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bowling Green,2026,16.824,16.824,,,,,0.6,0.438,0.588,0.355,0.419,0.538,0,2,4,2,0,0.4676,0,0,0,0,0,0,1,0,Missed,CIT,Missed,Missed,CBI,0,-2,7,-2,-2,8.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bradley,2026,40.224,40.224,,,,,0.4,0.757,0.657,0.714,0.548,0.429,4,4,16,4,0,0.621,0,0,0,0,0,2,1,2,NIT,NIT,NIT,Missed,Missed,0,9,9,9,-2,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0
Brown,2026,12.865,12.865,,,,,0.166666666666667,0.519,0.419,0.519,0.448,0.556,1,3,9,3,0,0.4922,0,0,0,0,0,0,1,0,Missed,Missed,Missed,Missed,CBI,0,-2,-2,-2,-2,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryant,2026,36.596,36.596,,,,,0.2,0.657,0.606,0.567,0.688,0.682,5,5,25,5,0,0.64,1,0,0,1,0,3,1,0,Fifteen Seed,Missed,Missed,Sixteen Seed,CBI,0,8,-2,-2,8,8.5,2,4,0,2,0,1.4142135623731,0,0,0,0,2,0,0,0,0,3,0,0
Bucknell,2026,12.218,12.218,,,,,0.333333333333333,0.545,0.424,0.375,0.281,0.417,1,1,1,1,0,0.4084,0,0,0,0,0,1,1,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
