,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Yaniel Rivera,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Starter,1,24,3,1,5,1,2,0,4,1,0,1,4,0,13,0,20.683,0,28.974,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-14,1.5,0,0,"1,215",0,TRUE,1,24,3,1,5,1,2,0,4,1,0,1,4,0,13,Yaniel Rivera
,Yaniel Rivera,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Bench,0,23,4,8,3,7,0,0,0,1,1,1,4,0,11,0,27.277,0,28.974,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-4.5,1,0,"1,025",0,TRUE,0,23,4,8,3,7,0,0,0,1,1,1,4,0,11,Yaniel Rivera
,Zy Wright,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Bench,0,8,0,2,0,1,0,0,1,1,1,0,2,1,0,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,6.5,1,0,0,0,FALSE, , , , , , , , , , , , , , , , 
,Zy Wright,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Bench,0,18,4,2,5,0,1,0,2,0,0,1,0,4,14,0,20.683,0,28.974,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-14,1.5,0,0,"1,215",0,FALSE, , , , , , , , , , , , , , , , 
,Zy Wright,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Bench,0,7,1,1,0,0,0,0,1,0,0,0,0,1,2,0,27.277,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4.5,1,0,"1,025",0,FALSE, , , , , , , , , , , , , , , , 
Air Force,,,,,,,,,35,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,35,1214,156,330,52,141,93,144,32,120,85,46,76,103,457,8
,A.J. Patterson,Air Force,HOME,Alabama St.,SWAC,0,0,Bench,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,28.14,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.5,1,0,"1,025",0,TRUE,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,A.J. Patterson
,A.J. Patterson,Air Force,HOME,SIU Edwardsville,Ohio Valley,0,0,Bench,0,14,0,0,0,0,0,0,0,2,1,2,0,3,0,0,26.408,0,5.743,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,2.5,0,0,"1,305",0,TRUE,0,14,0,0,0,0,0,0,0,2,1,2,0,3,0,A.J. Patterson
,A.J. Patterson,Air Force,HOME,IU Indy,Horizon,0,0,Bench,0,17,1,1,0,0,2,2,0,1,3,0,1,2,4,0,2.264,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-3.5,0,0,"1,099",0,TRUE,0,17,1,1,0,0,2,2,0,1,3,0,1,2,4,A.J. Patterson
,Caleb Walker,Air Force,AWAY,Belmont,Missouri Valley,0,0,Starter,1,26,4,5,0,0,4,4,3,1,2,2,2,2,12,0,21.527,0,5.743,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-16,14.5,0,0,"1,715",0,TRUE,1,26,4,5,0,0,4,4,3,1,2,2,2,2,12,Caleb Walker
