,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Binghamton,,,-6.22946205226566,-29.6847703087925,79.4440180364711,41.2410477291454,45.952522767886
Boise St.,,,9.75562272182532,-15.5803317697919,46.8418572341883,22.9572158949763,61.6362247884736
Boston College,,,-4.14980489406701,-34.257378394067,43.592936605933,25.4202409120454,9.03985303966228
Boston University,,,20.0291382946198,-25.4333886242691,42.4941063957309,21.8585751490565,114.013615783268
Bowling Green,,,21.490883504476,-30.03453623778,119.099165851088,55.6547954490979,207.609368942338
Bradley,,,-4.94498504548032,-55.1864147135693,82.2735720396407,48.7046415544931,68.416341752825
Brown,,,1.57877213157015,-21.2621263717096,49.9948414060682,21.9248768201507,66.0872977520021
Bryant,,,10.1306355186323,-20.4661864864887,94.7337789001233,40.723184696294,141.287954134908
Bucknell,,,2.96950400823669,-38.2203865363509,46.77507787545,27.7194659011312,42.7331326517858
Buffalo,,,7.97577378846565,-5.94760761368601,191.863332555781,76.0308831590569,232.72428566811
Butler,,,22.9564349920177,-1.73818352019465,68.7173660505313,25.8758781985443,145.217939595919
BYU,,,6.97889501827624,-71.7011393900733,201.175744609927,91.6851253794246,175.05463745804
Cal Baptist,,,4.800510735361,-12.949391664102,56.662300161058,27.0686403011794,75.983599844634
Cal Poly,,,11.771488715988,-27.0745416869585,94.808831944914,43.3530756187361,175.184983946003
Cal St. Bakersfield,,,2.65837659973641,-33.8828417843032,32.3907838823635,23.581140307837,29.5178879981565
Cal St. Fullerton,,,25.0953239568356,-8.95701756466349,90.6438095042301,34.7770050917236,172.239787801452
Cal St. Northridge,,,-16.305279265506,-36.657251265506,48.444266243156,34.2891513394453,-36.176914489694
California,,,11.059294553292,-24.385968841434,90.4349404173327,38.4626783073732,110.904599609341
Campbell,,,-7.11522464363365,-51.0008232761489,50.62949874274,37.123406975814,-2.0314953711962
Canisius,,,7.43615487244056,-13.2933315096607,21.8341768756529,12.4781677891605,40.0991688308962
Central Arkansas,,,24.5530596409783,0.881152831202828,135.965043220629,50.8550126417128,239.882601441438
Central Connecticut,,,37.8738248657087,-12.339611770958,158.455185517284,71.9240792029162,282.591616375799
Central Michigan,,,32.7961106247686,-53.19495527608,53.94304146792,44.0348985556907,91.5513755892171
Charleston,,,12.1564764944801,-28.4999641775839,52.9870963252852,28.5617921126748,105.529505412071
Charleston Southern,,,8.14256308480867,-18.789099024894,108.145571086246,46.145105120648,114.72171285246
Charlotte,,,3.93967482904178,-11.6882142499287,62.5237648889671,28.0198415159845,77.47559770375
Chattanooga,,,3.69182478589636,-40.2014927433276,10.1877130537044,23.2327152583741,-46.7477509850988
Chicago St.,,,25.556099942802,0.875899948190696,77.589485111456,25.1176093256658,211.192634331816
Cincinnati,,,-20.7795543190919,-69.6249793598028,27.4892660720541,35.6730789140004,-118.755036086449
Clemson,,,10.9178677756304,-15.9480023115796,58.7744102240597,25.3169934646464,58.2009815718862
Cleveland St.,,,16.9269649543038,-24.86762488906,58.51583347094,35.1540387617084,97.5286345663676
Coastal Carolina,,,24.2203035592597,-98.705762690442,63.951380692682,56.8912163223044,46.5988874354031
Colgate,,,36.0703008201759,-23.2650228779794,77.4051642008944,38.1418522779464,194.95398417434
Colorado,,,12.7237366439264,-18.7069736179874,49.4100909352772,28.8902771077677,94.5253316542103
Colorado St.,,,19.42697995712,-43.86723013188,84.37102613812,42.354709904494,110.395056414498
