Teams,Coach Name,Conference,,Wins,Losses,Games Dropping D2,WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,Points_RANK,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3_RANK,% of shots taken from 3,% of shots taken from 3_RANK,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G_RANK,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,OReb chances,OReb chances Rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_rank,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,OReb-Top7-Total,DReb-Top7-Total,AST-Top7-Total,TO-Top7-Total,STL-Top7-Total,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank,5 Year coach gap,5 Year coach gap rank,Average Ranking,Statistical Strength 
Loyola MD,Josh Loeffler,Patriot,,0,1,1,0,-16,0,1,56,N/A,-11,17,50,50,0.34,N/A,17,N/A,4,22,0.181818181818182,N/A,4,N/A,0.214285714285714,N/A,0.44,N/A,18,25,0.72,N/A,18,N/A,0.5,N/A,89.0019071837254,N/A,0.690909090909091,N/A,6,N/A,0.176470588235294,N/A,23,N/A,29,N/A,0.420289855072464,N/A,5,N/A,0.294117647058824,N/A,11,N/A,5,N/A,14,N/A,3,N/A,-7,N/A,17,N/A,4,N/A,24,N/A,67,N/A,25,57,57,0.43859649122807,N/A,25,N/A,3,11,0.272727272727273,N/A,3,N/A,0.134328358208955,N/A,0.192982456140351,N/A,0.946428571428571,N/A,12,N/A,0.342857142857143,N/A,28,N/A,40,N/A,9,N/A,0.36,N/A,10,N/A,17,N/A,17,N/A,12,N/A,44,N/A,13,40,3,16,16,19,0.325,0.1875,0.842105263157895,4,17,21,4,11,4,4,17,4,11,4,45,0.7647,0.8,0.75,0.7273,0.8889,0.76,0.9559,1.0313,1.1696,0.6667,0.7391,0.7241,0.8,1,0.8,0.8036,1,-6.470192278258,-6.470192278258,-6.470192278258,–,-6.470192278258,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.375,299,16.288088446,275,10.16,284,0,88,286,343
LSU,Matt McMahon,SEC,,2,0,2,1,3,0,0,94.5,N/A,35.5,64,118,59,0.542372881355932,N/A,32,N/A,18,45,0.4,N/A,9,N/A,0.285714285714286,N/A,0.38135593220339,N/A,43,57,0.754385964912281,N/A,21.5,N/A,0.483050847457627,N/A,141.129032258065,N/A,1.2695652173913,N/A,12.5,N/A,0.431034482758621,N/A,35,N/A,47.5,N/A,0.625,N/A,21,N/A,0.65625,N/A,11,N/A,4.5,N/A,17.5,N/A,2,N/A,-1.5,N/A,9.5,N/A,15,N/A,45,N/A,59,N/A,40,129,64.5,0.310077519379845,N/A,20,N/A,13,47,0.276595744680851,N/A,6.5,N/A,0.330508474576271,N/A,0.364341085271318,N/A,1.46456692913386,N/A,12,N/A,0.25531914893617,N/A,16.5,N/A,28.5,N/A,7.5,N/A,0.375,N/A,9,N/A,19.5,N/A,10,N/A,7,N/A,27,N/A,56,93,13,30,38,52,0.602150537634409,0.433333333333333,0.730769230769231,25.5,22.5,48,10.5,8,4,51,45,21,16,8,81.5,0.875,0.7881,0.7222,0.6667,0.8837,0.9123,1.1102,1.0833,0.9687,2.04,0.6429,1.0105,0.5,0.7273,0.8889,0.8624,1,56.3182488796775,52.4403090709477,60.1961886884073,5.48423507157221,112.636497759355,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.47,231,53.3275779851688,101,10.328,278,0,88,203.333333333333,256
Maine,Chris Markwood,American East,,0,2,2,0,-8,0,1,53.5,N/A,-15.5,37,102,51,0.362745098039216,N/A,18.5,N/A,8,37,0.216216216216216,N/A,4,N/A,0.224299065420561,N/A,0.362745098039216,N/A,25,37,0.675675675675676,N/A,12.5,N/A,0.362745098039216,N/A,82.9457364341085,N/A,0.694915254237288,N/A,5,N/A,0.138888888888889,N/A,24.5,N/A,29.5,N/A,0.401360544217687,N/A,6.5,N/A,0.351351351351351,N/A,13,N/A,6,N/A,16,N/A,2,N/A,-9,N/A,8,N/A,4.5,N/A,25,N/A,69,N/A,53,121,60.5,0.43801652892562,N/A,26.5,N/A,6,40,0.15,N/A,3,N/A,0.130434782608696,N/A,0.330578512396694,N/A,1.85123966942149,N/A,13,N/A,0.346666666666667,N/A,31,N/A,44,N/A,13,N/A,0.490566037735849,N/A,12,N/A,18,N/A,15,N/A,9.5,N/A,42,N/A,33,92,8,36,18,27,0.358695652173913,0.222222222222222,0.666666666666667,4,18,22,5,11.5,5.5,8,36,10,23,11,46,0.8919,0.902,1,0.973,0.72,0.7297,0.9888,1.0278,0.9867,0.8,0.7347,0.7458,0.7692,0.8846,0.9167,0.8598,1,10.520744444248,8.413363249956,12.62812563854,2.98028706605776,21.041488888496,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4898,217,20.3712837856,252,13.165,232,0,88,233.666666666667,285
Manhattan,John Gallagher,MAAC,,0,0,1,0,-13,0,1,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,–,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3934,290,14.2625352797714,283,12.689,237,0,88,270,327
Marist,John Dunne,MAAC,,0,1,1,0,-5,0,1,62,N/A,-4,21,44,44,0.477272727272727,N/A,21,N/A,3,10,0.3,N/A,3,N/A,0.145161290322581,N/A,0.227272727272727,N/A,17,25,0.68,N/A,17,N/A,0.568181818181818,N/A,97.6685570258349,N/A,0.803571428571429,N/A,6,N/A,0.24,N/A,27,N/A,33,N/A,0.515625,N/A,14,N/A,0.666666666666667,N/A,18,N/A,5,N/A,21,N/A,-1,N/A,-13,N/A,8,N/A,7,N/A,28,N/A,66,N/A,18,53,53,0.339622641509434,N/A,18,N/A,7,26,0.269230769230769,N/A,7,N/A,0.318181818181818,N/A,0.490566037735849,N/A,0.728813559322034,N/A,12,N/A,0.307692307692308,N/A,19,N/A,31,N/A,13,N/A,0.722222222222222,N/A,11,N/A,20,N/A,15,N/A,6,N/A,16,N/A,21,42,3,10,16,23,0.5,0.3,0.695652173913043,6,21,27,14,16,5,6,21,14,16,5,61,1,0.9545,1,1,0.9412,0.92,1.0476,1,1.023,1,0.7778,0.8182,1,0.8889,1,0.9839,1,30.0984892972743,30.0984892972743,30.0984892972743,–,30.0984892972743,3,7,42.8571428571429,74,1,2,50,30,6,8,75,60,6,16,6,34,1,134,2,37,0,1,1,250,2,299,2,12,0,0,2,8,0.4638,237,-25.9574528661684,363,14.028,221,142,7,126.285714285714,109
Marquette,Shaka Smart,Big East,,2,0,2,1,43,1,0,90,N/A,22.5,59,128,64,0.4609375,N/A,29.5,N/A,19,60,0.316666666666667,N/A,9.5,N/A,0.316666666666667,N/A,0.46875,N/A,43,59,0.728813559322034,N/A,21.5,N/A,0.4609375,N/A,124.206458735854,N/A,1.08730158730159,N/A,12.5,N/A,0.324675324675325,N/A,29.5,N/A,42,N/A,0.506024096385542,N/A,17.5,N/A,0.593220338983051,N/A,11.5,N/A,13,N/A,19,N/A,4,N/A,4,N/A,16,N/A,26,N/A,37,N/A,67.5,N/A,47,131,65.5,0.358778625954198,N/A,23.5,N/A,10,47,0.212765957446809,N/A,5,N/A,0.222222222222222,N/A,0.358778625954198,N/A,1.67741935483871,N/A,15,N/A,0.337078651685393,N/A,26,N/A,41,N/A,11.5,N/A,0.48936170212766,N/A,18,N/A,23,N/A,8.5,N/A,14.5,N/A,35,N/A,42,85,10,40,38,52,0.494117647058824,0.25,0.730769230769231,6.5,22,28.5,15,9,11,13,44,30,18,22,66,0.7119,0.6641,0.5263,0.6667,0.8837,0.8814,1.072,0.7895,1.0027,0.52,0.7458,0.6786,0.8571,0.7826,0.8462,0.7333,1,-16.0143098386219,-27.6232794044841,-4.40534027275963,16.4175622052189,-32.0286196772437,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.7092,44,119.40094549679,23,44.645,52,-29,338,39.6666666666667,18
Marshall,Cornelius Jackson,Sun Belt,,2,0,2,1,-8,0,1,81.5,N/A,9,58,117,58.5,0.495726495726496,N/A,29,N/A,25,67,0.373134328358209,N/A,12.5,N/A,0.460122699386503,N/A,0.572649572649573,N/A,22,31,0.709677419354839,N/A,11,N/A,0.264957264957265,N/A,111.889071938495,N/A,1.03676470588235,N/A,11,N/A,0.360655737704918,N/A,28,N/A,39,N/A,0.549295774647887,N/A,23,N/A,0.793103448275862,N/A,20.5,N/A,8.5,N/A,22,N/A,0.5,N/A,-5,N/A,18.5,N/A,14.5,N/A,32,N/A,72.5,N/A,49,119,59.5,0.411764705882353,N/A,24.5,N/A,11,37,0.297297297297297,N/A,5.5,N/A,0.227586206896552,N/A,0.310924369747899,N/A,1.61481481481481,N/A,12.5,N/A,0.308641975308642,N/A,19.5,N/A,32,N/A,17,N/A,0.693877551020408,N/A,17,N/A,22.5,N/A,20.5,N/A,14,N/A,31,N/A,52,103,22,59,17,24,0.504854368932039,0.372881355932203,0.708333333333333,8.5,21.5,30,21,16.5,7.5,17,43,42,33,15,71.5,0.8966,0.8803,0.88,0.8806,0.7727,0.7742,1.0184,0.9993,0.9981,0.7727,0.7679,0.7692,0.913,0.8049,0.8824,0.8773,0.9,34.534279590157,27.448250159072,41.620309021242,10.0211589248153,69.068559180314,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.6286,75,39.8799075692,152,14.159,218,0,88,148.333333333333,165
Maryland,Buzz Williams,Big Ten,,1,1,2,0.5,15,0,0,71.5,N/A,6,38,107,53.5,0.355140186915888,N/A,19,N/A,14,50,0.28,N/A,7,N/A,0.293706293706294,N/A,0.467289719626168,N/A,53,62,0.854838709677419,N/A,26.5,N/A,0.579439252336449,N/A,108.071342200726,N/A,0.825688073394495,N/A,11.5,N/A,0.310810810810811,N/A,25.5,N/A,37,N/A,0.513888888888889,N/A,10,N/A,0.526315789473684,N/A,12.5,N/A,6.5,N/A,21,N/A,-0.5,N/A,5,N/A,21,N/A,9,N/A,23,N/A,65.5,N/A,42,102,51,0.411764705882353,N/A,21,N/A,12,39,0.307692307692308,N/A,6,N/A,0.274809160305344,N/A,0.382352941176471,N/A,1.77777777777778,N/A,9.5,N/A,0.271428571428571,N/A,25.5,N/A,35,N/A,11,N/A,0.523809523809524,N/A,15.5,N/A,20.5,N/A,12,N/A,9.5,N/A,27,N/A,34,91,13,47,43,52,0.373626373626374,0.276595744680851,0.826923076923077,7.5,20,27.5,8.5,9,5.5,15,40,17,18,11,62,0.8947,0.8505,0.9286,0.94,0.8113,0.8387,1.0521,0.9878,0.9673,0.6522,0.7843,0.7432,0.85,0.72,0.8462,0.8671,1,-18.4961484795414,-27.4288416236515,-9.56345533543121,12.6327357929177,-36.9922969590827,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5,184,73.8959383380476,59,42.409,54,0,88,99,62
Maryland Eastern Shore,Cleo Hill Jr,MEAC,,0,2,2,0,-16,0,1,40.5,N/A,-34.5,31,111,55.5,0.279279279279279,N/A,15.5,N/A,7,41,0.170731707317073,N/A,3.5,N/A,0.259259259259259,N/A,0.369369369369369,N/A,12,24,0.5,N/A,6,N/A,0.216216216216216,N/A,59.0034965034965,N/A,0.522727272727273,N/A,14.5,N/A,0.341176470588235,N/A,26,N/A,40.5,N/A,0.46551724137931,N/A,9.5,N/A,0.612903225806452,N/A,25,N/A,5.5,N/A,20,N/A,-4,N/A,-17.5,N/A,8.5,N/A,1,N/A,19,N/A,75,N/A,52,136,68,0.382352941176471,N/A,26,N/A,13,66,0.196969696969697,N/A,6.5,N/A,0.26,N/A,0.485294117647059,N/A,1.57046979865772,N/A,18.5,N/A,0.415730337078652,N/A,28,N/A,46.5,N/A,14,N/A,0.538461538461538,N/A,11.5,N/A,16,N/A,26,N/A,19,N/A,36,N/A,12,52,2,23,5,10,0.230769230769231,0.0869565217391304,0.5,5,9,14,4.5,10.5,3.5,10,18,9,21,7,15.5,0.3871,0.4685,0.2857,0.561,0.4167,0.4167,0.8263,0.5093,1,0.3448,0.3462,0.3457,0.4737,0.42,0.6364,0.3827,1,40.398269713633,-42.76487598421,123.561415411476,117.610448535499,80.796539427266,5,13,38.4615384615385,86,1,3,33.3333333333333,62,2,4,50,113,-5,339,9,10,12,2,3,18,6,363,3,332,2,299,0,90,0,1,0,77,0.1818,343,3.2097411476,327,8.115,314,0,88,192.714285714286,240
Massachusetts,Frank Martin,MAC,,1,1,2,0.5,4,0,1,77.5,N/A,7.5,51,115,57.5,0.443478260869565,N/A,25.5,N/A,11,41,0.268292682926829,N/A,5.5,N/A,0.212903225806452,N/A,0.356521739130435,N/A,42,66,0.636363636363636,N/A,21,N/A,0.573913043478261,N/A,108.787198203257,N/A,0.911290322580645,N/A,12,N/A,0.328767123287671,N/A,21.5,N/A,33.5,N/A,0.5,N/A,16.5,N/A,0.647058823529412,N/A,16.5,N/A,10,N/A,24,N/A,2,N/A,9,N/A,22,N/A,14.5,N/A,36,N/A,70,N/A,47,109,54.5,0.431192660550459,N/A,23.5,N/A,16,56,0.285714285714286,N/A,8,N/A,0.342857142857143,N/A,0.513761467889908,N/A,1.7741935483871,N/A,9,N/A,0.295081967213115,N/A,24.5,N/A,33.5,N/A,17,N/A,0.723404255319149,N/A,22.5,N/A,26,N/A,19.5,N/A,17.5,N/A,30,N/A,45,98,7,30,39,60,0.459183673469388,0.233333333333333,0.65,9.5,17.5,27,15.5,12.5,7,19,35,31,25,14,68,0.8824,0.8522,0.6364,0.7317,0.9286,0.9091,1.0354,0.8697,1.0214,0.7917,0.814,0.806,0.9394,0.7576,0.7,0.8774,1,3.8425992692688,-22.4633634195212,30.1485619580588,37.2022492057674,7.6851985385376,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5,184,35.7124793994779,168,8.526,310,0,88,220.666666666667,276
McNeese St.,Bill Armstrong,Southland,,1,1,1,0.5,-21,0,0,67,N/A,-12,23,51,51,0.450980392156863,N/A,23,N/A,4,16,0.25,N/A,4,N/A,0.17910447761194,N/A,0.313725490196078,N/A,17,23,0.739130434782609,N/A,17,N/A,0.450980392156863,N/A,105.545053560176,N/A,0.892857142857143,N/A,9,N/A,0.290322580645161,N/A,19,N/A,28,N/A,0.373333333333333,N/A,10,N/A,0.434782608695652,N/A,14,N/A,11,N/A,21,N/A,-3,N/A,-15,N/A,14,N/A,20,N/A,38,N/A,79,N/A,26,66,33,0.393939393939394,N/A,13,N/A,12,31,0.387096774193548,N/A,6,N/A,0.227848101265823,N/A,0.46969696969697,N/A,2.90909090909091,N/A,25,N/A,0.568181818181818,N/A,22,N/A,47,N/A,18,N/A,1.38461538461538,N/A,15,N/A,18,N/A,20,N/A,19,N/A,26,N/A,18,44,3,15,17,21,0.409090909090909,0.2,0.80952380952381,9,12,21,9,11,10,9,12,9,11,10,56,0.7826,0.8627,0.75,0.9375,1,0.913,0.9071,0.8,1.0952,1,0.6316,0.75,0.9,0.7857,0.9091,0.8358,1,-2.178367872,-2.178367872,-2.178367872,–,-2.178367872,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5,184,21.8373618,244,45.089,51,0,88,159.666666666667,191
Memphis,Penny Hardaway,American,,1,0,1,1,31,1,0,76,N/A,6,26,66,66,0.393939393939394,N/A,26,N/A,10,27,0.37037037037037,N/A,10,N/A,0.394736842105263,N/A,0.409090909090909,N/A,14,26,0.538461538461538,N/A,14,N/A,0.393939393939394,N/A,109.89010989011,N/A,0.984126984126984,N/A,17,N/A,0.404761904761905,N/A,24,N/A,41,N/A,0.546666666666667,N/A,17,N/A,0.653846153846154,N/A,14,N/A,15,N/A,20,N/A,3,N/A,10,N/A,12,N/A,13,N/A,30,N/A,70,N/A,22,55,55,0.4,N/A,22,N/A,10,30,0.333333333333333,N/A,10,N/A,0.428571428571429,N/A,0.545454545454545,N/A,0.9,N/A,9,N/A,0.272727272727273,N/A,25,N/A,34,N/A,12,N/A,0.545454545454545,N/A,16,N/A,23,N/A,21,N/A,13,N/A,22,N/A,21,51,7,20,10,20,0.411764705882353,0.35,0.5,4,18,22,14,9,13,4,18,14,9,13,59,0.8077,0.7727,0.7,0.7407,0.7143,0.7692,1.0452,0.945,0.9286,0.2353,0.75,0.5366,0.8235,0.6429,0.8667,0.7763,0.8,24.476419809345,24.476419809345,24.476419809345,–,24.476419809345,4,7,57.1428571428571,31,1,2,50,30,3,5,60,97,-1,307,3,105,4,77,1,70,1,265,1,250,1,254,1,38,0,0,1,20,0.7056,46,85.0721866491047,45,47.037,42,3,81,118.357142857143,97
Mercer,Ryan Ridder,Southern,,2,1,2,0.666666666666667,-13,0,1,76.5,168,0,57,132,66,0.431818181818182,192,28.5,102,15,49,0.306122448979592,203,7.5,176,0.294117647058824,183,0.371212121212121,219,24,34,0.705882352941176,184,12,254,0.257575757575758,289,116.296746731529,139,1.06611570247934,113,12,135,0.296296296296296,199,21.5,260,33.5,230,0.440789473684211,283,14,151,0.491228070175439,220,6.5,25,12,16,8,14,6,38,6.5,74,14,172,9.5,195,36,104,76.5,194,60,128,42.6666666666667,0.46875,243,20,114,18,49,0.36734693877551,255,6,141,0.235294117647059,151,0.3828125,160,3.92417061611374,364,14,273,0.394366197183099,305,28.5,280,42.5,300,21,337,1.05,324,15,87,14,297,12,121,18,318,40,289,55,125,14,44,24,34,0.44,0.318181818181818,0.705882352941176,9.5,19.5,29,14,6,10,19,39,28,12,20,74,0.9649,0.947,0.9333,0.898,1,1,1.0189,1.0394,1,0.7917,0.907,0.8657,1,0.9231,0.8333,0.9673,0.9,53.739823466942,34.20157480628,73.278072127604,27.6312562409262,107.479646933884,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4444,253,34.955363717,171,12.347,244,0,88,200.04347826087,250
Mercyhurst,Gary Manchel,NEC,,1,1,2,0.5,-16,0,1,60,N/A,-7.5,43,114,57,0.37719298245614,N/A,21.5,N/A,8,36,0.222222222222222,N/A,4,N/A,0.2,N/A,0.315789473684211,N/A,26,34,0.764705882352941,N/A,13,N/A,0.298245614035088,N/A,91.9963201471941,N/A,0.789915966386555,N/A,9,N/A,0.25,N/A,25,N/A,34,N/A,0.462585034013605,N/A,13,N/A,0.604651162790698,N/A,11.5,N/A,8,N/A,21,N/A,-6,N/A,-2,N/A,16,N/A,5.5,N/A,26,N/A,67.5,N/A,39,105,52.5,0.371428571428571,N/A,19.5,N/A,13,45,0.288888888888889,N/A,6.5,N/A,0.288888888888889,N/A,0.428571428571429,N/A,1.76699029126214,N/A,12.5,N/A,0.333333333333333,N/A,27,N/A,39.5,N/A,13.5,N/A,0.692307692307692,N/A,13,N/A,15,N/A,11,N/A,18,N/A,25,N/A,42,106,7,32,25,32,0.39622641509434,0.21875,0.78125,6.5,21,27.5,12,9,7.5,13,42,24,18,15,58,0.9767,0.9298,0.875,0.8889,0.9615,0.9412,1.0505,0.9844,1.0216,0.7222,0.84,0.8088,0.9231,0.7826,0.9375,0.9667,1,95.170070561487,35.456740603758,154.883400519216,84.44740108068,190.340141122974,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4848,219,22.5311207936,238,10.762,271,0,88,242.666666666667,297
Merrimack,Joe Gallo,MAAC,,0,2,2,0,-10,0,1,61.5,N/A,-23.5,34,112,56,0.303571428571429,N/A,17,N/A,16,61,0.262295081967213,N/A,8,N/A,0.390243902439024,N/A,0.544642857142857,N/A,39,51,0.764705882352941,N/A,19.5,N/A,0.455357142857143,N/A,93.0690072639225,N/A,0.730434782608696,N/A,9.5,N/A,0.228915662650602,N/A,18,N/A,27.5,N/A,0.357142857142857,N/A,8,N/A,0.470588235294118,N/A,11,N/A,7.5,N/A,22.5,N/A,-3.5,N/A,-8,N/A,11,N/A,12,N/A,17,N/A,85,N/A,55,119,59.5,0.46218487394958,N/A,27.5,N/A,13,42,0.30952380952381,N/A,6.5,N/A,0.229411764705882,N/A,0.352941176470588,N/A,2.32075471698113,N/A,17.5,N/A,0.492957746478873,N/A,32,N/A,49.5,N/A,15.5,N/A,0.563636363636364,N/A,11,N/A,19,N/A,15,N/A,9.5,N/A,35,N/A,28,97,14,55,33,43,0.288659793814433,0.254545454545455,0.767441860465116,3.5,15.5,19,8,8.5,8,7,31,16,17,16,51.5,0.8235,0.8661,0.875,0.9016,0.8462,0.8431,0.9509,0.9705,1.0036,0.3684,0.8611,0.6909,1,0.7727,1.0667,0.8374,1,-0.40746561181129,-2.45183406956229,1.63690284593971,2.89117359943923,-0.81493122362258,3,10,30,111,2,5,40,56,4,7,57.1428571428571,107,-8,351,6,34,6,40,4,9,1,265,1,250,1,254,1,38,0,0,1,20,0.5525,138,36.6241374935714,162,21.229,155,7,77,140.714285714286,147
Miami FL,Jai Lucas,ACC,,3,0,3,1,-14,0,0,96.3333333333333,27,32.6666666666666,103,181,60.3333333333333,0.569060773480663,11,34.3333333333333,20,19,54,0.351851851851852,127,6.33333333333333,242,0.197231833910035,316,0.298342541436464,308,62,85,0.729411764705882,142,20.6666666666667,76,0.469613259668508,81,136.140945920482,33,1.21621621621622,38,9.66666666666667,246,0.333333333333334,130,31.6666666666667,27,41.3333333333334,75,0.590476190476191,34,23.6666666666667,6,0.689320388349516,30,11,104,8.66666666666667,87,17,112,2.3333333333333,110,3.66666666666664,116,18.3333333333333,95,13.6666666666667,104,52,7,63.6666666666667,65,67,181,60.3333333333333,0.370165745856354,64,22.3333333333333,153,22,85,0.258823529411765,88,7.33333333333333,224,0.345549738219895,289,0.469613259668508,298,2.51612903225807,301,9.33333333333333,106,0.227642276422764,59,19.3333333333333,52,28.6666666666666,47,10.6666666666667,94,0.47761194029851,104,14.3333333333333,121,19.3333333333333,148,11.6666666666667,119,7.66666666666667,115,25.3333333333333,75,94,155,16,40,60,80,0.606451612903226,0.4,0.75,17,21.6666666666667,38.6666666666667,16,5.66666666666667,7,51,65,48,17,21,88,0.9126,0.8564,0.8421,0.7407,0.9677,0.9412,1.0657,1.1368,1.0282,1.7586,0.6842,0.9355,0.6761,0.5152,0.8077,0.9135,1,-11.65207754804,-23.10977283804,38.00199015196,32.4844906487712,3.24013976588,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,1,1,57.227717196,90,29.132,98,0,88,114.608695652174,91
