,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,37,5,16,5,13,3,3,1,4,6,0,1,1,18,0,12.666,0,9.471,1,0,0,0,0,1,0,0,0,0,1,0,1,0,-13,-4.5,0,0,"1,067",0
Andrew Phillips,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,36,5,14,4,9,4,5,3,4,2,0,2,2,18,0,12.666,0,9.471,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,-4.5,0,0,"1,067",0
Mark Butler,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,35,1,6,0,1,1,1,0,1,2,0,1,2,3,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,-4.5,0,0,"1,067",0
Luke Bevilacqua,Lafayette,HOME,Le Moyne,NEC,0,0,Bench,0,19,2,5,0,0,0,1,2,0,3,1,1,2,4,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-4.5,0,0,"1,067",0
Folabomi Fayemi,Lafayette,HOME,Le Moyne,NEC,0,0,Bench,0,7,0,0,0,0,2,2,0,1,0,2,0,0,2,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-13,-4.5,0,0,"1,067",0
Ryan Pettit,Lafayette,HOME,Le Moyne,NEC,0,0,Bench,0,23,1,4,0,1,2,2,1,2,1,2,2,4,4,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-13,-4.5,0,0,"1,067",0
Todd Brogna,Merrimack,AWAY,Penn,Ivy,0,0,Starter,1,22,0,5,0,5,0,0,1,3,2,1,1,2,0,0,7.614,0,21.229,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-12,3.5,0,0,"1,440",0
Kevair Kennedy,Merrimack,AWAY,Penn,Ivy,0,0,Starter,1,35,8,13,0,0,2,4,0,4,3,1,2,4,18,0,7.614,0,21.229,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-12,3.5,0,0,"1,440",0
Ernest Shelton,Merrimack,AWAY,Penn,Ivy,0,0,Starter,1,35,4,13,2,9,2,2,0,0,1,0,0,1,12,0,7.614,0,21.229,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,3.5,0,0,"1,440",0
Tye Dorset,Merrimack,AWAY,Penn,Ivy,0,0,Starter,1,35,2,12,0,7,4,4,0,3,1,1,0,3,8,0,7.614,0,21.229,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-12,3.5,0,0,"1,440",0
Andrés Marrero,Merrimack,AWAY,Penn,Ivy,0,0,Starter,1,27,6,14,2,7,0,0,0,2,2,2,0,1,14,0,7.614,0,21.229,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-12,3.5,0,0,"1,440",0
Aliou Cisse,Merrimack,AWAY,Penn,Ivy,0,0,Bench,0,9,1,1,0,0,0,0,0,1,0,0,0,2,2,0,7.614,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,3.5,0,0,"1,440",0
Dylan Veillette,Merrimack,AWAY,Penn,Ivy,0,0,Bench,0,7,1,2,0,0,0,0,0,0,0,0,0,1,2,0,7.614,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,3.5,0,0,"1,440",0
KC Ugwuakazi,Merrimack,AWAY,Penn,Ivy,0,0,Bench,0,17,2,6,0,0,2,2,5,4,0,0,0,4,6,0,7.614,0,21.229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-12,3.5,0,0,"1,440",0
Jaylen Stinson,Merrimack,AWAY,Penn,Ivy,0,0,Bench,0,13,1,1,0,0,1,3,0,3,3,2,1,1,3,0,7.614,0,21.229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-12,3.5,0,0,"1,440",0
Augustus Gerhart,Penn,HOME,Merrimack,MAAC,0,0,Starter,1,17,3,3,0,0,2,2,0,4,1,0,1,3,8,0,21.229,0,7.614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,-3.5,0,0,"1,440",0
Michael Zanoni,Penn,HOME,Merrimack,MAAC,0,0,Starter,1,16,1,4,0,3,3,3,0,1,0,1,0,1,5,0,21.229,0,7.614,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,-3.5,0,0,"1,440",0
Ethan Roberts,Penn,HOME,Merrimack,MAAC,0,0,Starter,1,36,4,11,1,3,2,2,0,4,4,1,4,2,11,0,21.229,0,7.614,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,-3.5,0,0,"1,440",0
TJ Power,Penn,HOME,Merrimack,MAAC,0,0,Starter,1,37,6,12,0,1,2,3,1,11,6,0,2,0,14,0,21.229,0,7.614,2,1,0,0,0,0,0,1,0,0,1,0,1,0,12,-3.5,0,0,"1,440",0
AJ Levine,Penn,HOME,Merrimack,MAAC,0,0,Starter,1,11,0,1,0,0,0,0,0,0,1,0,1,0,0,0,21.229,0,7.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-3.5,0,0,"1,440",0
Lucas Lueth,Penn,HOME,Merrimack,MAAC,0,0,Bench,0,22,4,9,1,2,0,3,2,2,0,0,0,3,9,0,21.229,0,7.614,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,-3.5,0,0,"1,440",0
Dalton Scantlebury,Penn,HOME,Merrimack,MAAC,0,0,Bench,0,23,10,10,0,0,2,8,8,5,2,0,1,1,22,0,21.229,0,7.614,2,1,0,0,1,0,1,0,1,0,0,0,1,1,12,-3.5,0,0,"1,440",0
Dylan Williams,Penn,HOME,Merrimack,MAAC,0,0,Bench,0,17,2,6,0,1,1,2,1,2,3,1,1,1,5,0,21.229,0,7.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-3.5,0,0,"1,440",0
Cam Thrower,Penn,HOME,Merrimack,MAAC,0,0,Bench,0,18,1,2,1,2,0,0,0,1,1,0,1,1,3,0,21.229,0,7.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-3.5,0,0,"1,440",0
Mackenzie Mgbako,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Starter,1,18,3,8,2,6,2,2,2,3,1,0,2,5,10,0,6.403,0,45.993,1,0,0,0,0,0,0,0,0,0,0,1,0,0,36,1.5,0,0,"4,598",0
Rashaun Agee,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Starter,1,26,4,11,0,2,9,12,7,10,1,1,1,1,17,0,6.403,0,45.993,2,1,0,0,0,0,0,1,1,0,0,0,1,0,36,1.5,0,0,"4,598",0
