,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,8.686516,0.025252,-0.113503,2.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,,0.076186,0.846192,,-0.113265,,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,365,Wins Prior to Season,Losses Prior to Season,Wins at School (current stint),Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances squared,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Losing Seasons Consecutively > Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach (FIX THIS ONE EVERY YEAR),Consecutive seasons improving record prior to season,Consecutive seasons without improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Consecutive seasons without improving record Including season,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,Championship Criteria 2.0 (2027 year 1 possible),AP + UPSET + MM Year Prior INDY,Coach Value - Historical Value for 5+ years at school for coach,Started Season as Head Coach,"NOTES*** Record improvement: I need to do a couple of things. Break up improving record of school, coaches change in record. I also want over .500 power without march appearance (or sub .500 power). Coaches record at school vs previous coach record at school. Also do last seasons record. Not sure if I have this but improved coaches record, improved record at school.",,Score
Colorado St.,Ali Farokhmanesh,Mountain West,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,9,4,9,4,0.6923,0.6923,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0.692307692307692,0.722,-0.029692307692308,1,0,0,0,0,1,0,NA,0,0,0,0,-18,2,0,0,1,,,38.2571445178308
Columbia,Kevin Hovde,Ivy,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,10,3,10,3,0.7692,0.7692,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.769230769230769,0.444,0.325230769230769,1,0,0,0,0,1,0,,,0,0,1,-18,-18,0,0,1,,,47.5941094473231
Connecticut,Dan Hurley,Big East,FALSE,FALSE,FALSE,TRUE,TRUE,,316,174,165,69,13,1,329,175,0.6528,0.7177,0,16,8,8,7,5,100,1,0,0.5,0,0.466666666666667,49,0,0.625,0,0,15,5,0.75,100,0,0,0,0,1,0,0,2,2,2,2,2,0,0,0,5,5,2,2,1,0.5,0.285714285714286,0.2,0,0,11,4,8,5,2,12,8,0.75,1,0,6,0,6,0,0,7,0,0,49,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.928571428571429,0.686,0,0.686,0,0,1,0.242571428571429,0,0,,,1,1,0,56,76,1,10,1,,,146.860576621552
Coppin St.,Larry Stewart,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,8,51,8,51,2,15,10,66,0.1316,0.1316,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,3,0,9,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0.117647058823529,0.2,0,0.2,1,0,0,-0.082352941176471,1,0,,,1,0,1,-13,7,0,0,1,,,0.6328722472
Cornell,Jon Jaques,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,18,11,18,11,6,6,24,17,0.5854,0.5854,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.5,0.621,0,0.621,0,0,0,-0.121,1,0,,,1,0,1,-13,7,0,0,1,,,38.8959501348
Creighton,Greg McDermott,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,499,302,350,71,9,5,508,307,0.6233,0.8253,0,25,16,17,13,9,100,1,0,0.68,0,0.541666666666667,100,0,0.5625,0,0,12,13,0.48,100,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,5,5,0,3,0,0.5,0.230769230769231,0,0,0,17,10,17,6,0,18,17,0.72,1,0,10,0,10,0,0,11,0,0,121,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.642857142857143,0.694,0,0.694,1,0,0,-0.051142857142857,1,0,,,1,0,0,23,43,0,15,1,,,130.809023292349
Dartmouth,David McLaughlin,Ivy,FALSE,FALSE,FALSE,FALSE,TRUE,,76,145,76,145,5,7,81,152,0.3476,0.3476,1,9,9,0,0,0,81,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.416666666666667,0.5,0,0.5,1,0,0,-0.083333333333333,1,0,,,1,0,1,-10,10,0,2,1,,,7.48463280808889
Davidson,Matt McKillop,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,48,49,48,49,8,5,56,54,0.5091,0.5091,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.5,1,0,1,0,1,0,0,2,0,0,4,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.615384615384615,0.515,0,0.515,1,0,2,0.100384615384615,0,0,,,1,0,1,-10,-10,0,0,1,,,47.0748116606615
Dayton,Anthony Grant,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,365,193,172,82,9,4,374,197,0.655,0.6779,0,18,9,6,4,1,100,1,0,0.333333333333333,0,0.235294117647059,16,0,0.166666666666667,0,0,2,4,0.333333333333333,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,2,0,0.833333333333333,0.5,0,0,0,15,4,12,4,0,16,12,0.888888888888889,1,0,7,0,7,0,0,8,0,0,64,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0.692307692307692,0.676,0,0.676,0,1,1,0.016307692307692,0,0,,,1,0,0,7,27,0,-17,1,,,87.2621981219718
Delaware,Martin Ingelsby,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,147,137,147,137,4,8,151,145,0.5101,0.5101,0,10,10,0,1,0,100,1,0,0,0,0.111111111111111,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,1,0,1,0,0.1,1,0,1,0,5,0,2,0,0,5,2,0.5,0,1,0,1,3,0,1,0,2,2,0,4,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.444,0,0.444,0,1,0,-0.110666666666667,2,0,,,1,0,1,-7,13,0,1,1,,,25.1618447406444
Delaware St.,Stan Waterman,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,39,83,39,83,5,10,44,93,0.3212,0.3212,1,5,5,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,1,0,0,0,0,1,0,0.2,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333333333,0.533,0,0.533,3,0,0,-0.199666666666667,1,0,,,1,0,1,-13,7,0,81,1,,,13.2531399944
Denver,Tim Bergstraser,Summit,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,7,8,7,8,0.4667,0.4667,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.466666666666667,0.344,0.122666666666667,1,0,0,0,0,1,0,,,0,0,1,-21,-1,0,0,1,,,19.6386830987333
DePaul,Chris Holtmann,Big East,FALSE,FALSE,FALSE,FALSE,TRUE,,265,191,14,20,8,5,273,196,0.5821,0.4681,0,15,2,12,7,7,100,1,0,0.8,0,0.5,49,0,0.636363636363636,0,0,7,7,0.5,49,0,0,0,0,1,0,0,1,0,0,0,0,9,3,0,0,7,1,0,0,0.333333333333333,0,0,0,0,10,0,8,1,0,11,8,0.733333333333333,1,0,0,1,10,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.615384615384615,0.412,0,0.412,0,0,1,0.203384615384615,0,0,,,1,0,1,3,3,0,0,1,,,47.9246601753888
Detroit Mercy,Mark Montgomery,Horizon,FALSE,FALSE,FALSE,FALSE,TRUE,,132,194,8,24,6,7,138,201,0.4071,0.3111,0,10,2,0,0,0,100,1,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.2,0,0,0,0,2,0,1,0,0,2,1,0.2,0,1,0,2,1,1,1,0,3,3,0,9,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0.461538461538462,0.25,0,0.25,1,0,2,0.211538461538462,0,3,,,1,0,1,-13,-13,0,0,1,,,3.96864347204615
Drake,Eric Henderson,Missouri Valley,FALSE,FALSE,TRUE,FALSE,TRUE,,129,60,0,0,7,7,136,67,0.67,0.5,0,7,1,0,2,0,49,1,0,0,0,0.333333333333333,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,2,0,0.857142857142857,1,0,1,0,6,2,4,1,1,6,4,0.857142857142857,0,0,6,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.886,-0.386,0.625,0,0,0,-0.125,1,0,,,1,0,0,-7,-7,0,0,1,,,56.0125571721905
Drexel,Zach Spiker,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,233,257,131,145,6,8,239,265,0.4742,0.4724,1,17,10,0,1,0,100,1,0,0,1,0.0625,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,1,1,1,0,0.117647058823529,1,0,1,0,7,0,1,0,0,7,1,0.411764705882353,0,1,5,0,5,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.428571428571429,0.545,0,0.545,0,1,0,-0.116428571428571,2,0,,,1,0,1,-10,-10,0,76,1,,,19.2990903277445
Duke,Jon Scheyer,ACC,FALSE,FALSE,FALSE,TRUE,TRUE,,89,22,89,22,12,1,101,23,0.8145,0.8145,0,4,4,4,3,3,16,0,0,1,0,0.75,9,0,0.75,0,0,8,3,0.727272727272727,64,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,3,3,0,2,2,0,0.666666666666667,0.666666666666667,0,0,3,3,3,3,1,4,3,1,1,0,3,0,3,0,0,4,0,0,16,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.923076923076923,0.897,0,0.897,1,0,2,0.026076923076923,0,0,,,1,1,0,44,44,1,0,1,,,101.114481685117
Duquesne,Dru Joyce III,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,13,19,13,19,9,5,22,24,0.4783,0.4783,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.642857142857143,0.406,0,0.406,0,0,1,0.236857142857143,0,0,,,1,0,0,-16,-16,0,0,1,,,32.4236477680286
East Carolina,Michael Schwartz,American,FALSE,FALSE,FALSE,FALSE,TRUE,,50,49,50,49,5,9,55,58,0.4867,0.4867,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.357142857142857,0.576,0,0.576,1,0,0,-0.218857142857143,1,0,,,1,0,1,-13,-13,0,0,1,,,27.4369382179714
East Tennessee St.,Brooks Savage,Southern,FALSE,FALSE,FALSE,FALSE,TRUE,,38,28,38,28,9,5,47,33,0.5875,0.5875,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,2,0,0.666666666666667,1,0,2,0,2,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.642857142857143,0.613,0,0.613,1,0,2,0.029857142857143,0,0,,,1,0,1,-10,-10,0,0,1,,,48.3234243837619
East Texas A&M,Jaret von Rosenberg,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,31,66,31,66,6,7,37,73,0.3364,0.3364,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,4,4,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.461538461538462,0.115,0,0.115,0,1,1,0.346538461538462,0,0,,,1,0,1,-13,7,0,0,1,,,8.31525268264615
Eastern Illinois,Marty Simmons,Ohio Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,224,260,40,85,3,8,227,268,0.4586,0.3162,1,15,5,0,0,0,100,0,0,0,1,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.133333333333333,0,0,0,0,5,0,3,1,0,5,3,0.333333333333333,0,1,0,4,2,1,1,0,5,5,0,25,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0.272727272727273,0.387,0,0.387,0,1,0,-0.114272727272727,2,0,,,1,0,1,-10,10,0,-26,1,,,10.3623295135636
Eastern Kentucky,A.W. Hamilton,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,122,102,122,102,4,9,126,111,0.5316,0.5316,0,8,8,0,0,0,64,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.375,0,0,0,0,4,0,2,0,0,4,2,0.5,0,1,3,0,3,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.307692307692308,0.563,0,0.563,1,0,0,-0.255307692307692,1,0,,,1,0,1,-7,-7,0,-9,1,,,37.6995772454308
Eastern Michigan,Stan Heath,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,255,285,47,78,7,7,262,292,0.4729,0.3885,1,18,5,12,4,3,100,0,0,0.666666666666667,1,0.222222222222222,16,0,0.25,0,0,4,4,0.5,16,1,0,0,0,0,0,0,1,1,0,0,0,36,6,0,0,2,0,1,0,0.166666666666667,0.25,0,0,0,6,0,3,1,1,6,3,0.333333333333333,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.5,0.5,0,0.5,2,0,0,0,1,0,,,1,0,1,-5,15,0,-33,1,,,13.2720051973556
Eastern Washington,Dan Monsoon,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,455,418,10,22,2,11,457,429,0.5158,0.2667,0,29,2,8,4,1,100,1,0,0.275862068965517,0,0.142857142857143,16,0,0.125,0,0,3,4,0.428571428571429,9,1,0,0,0,0,0,0,1,1,0,0,0,1,1,3,0,1,8,1,0,0.523809523809524,0.25,0,0,0,15,0,8,2,0,15,8,0.517241379310345,0,1,0,1,4,0,1,0,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.153846153846154,0.313,0,0.313,0,1,0,-0.159153846153846,2,0,,,1,0,1,1,1,0,0,1,,,35.8665360321251
Elon,Billy Taylor,CAA,FALSE,FALSE,FALSE,FALSE,TRUE,,203,227,38,59,9,5,212,232,0.4775,0.4234,0,15,4,0,1,0,100,0,0,0,1,0.0666666666666667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144,12,0,0,1,5,1,0,0.4,1,0,1,0,5,0,1,0,0,6,1,0.4,1,0,1,0,1,0,1,2,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0.642857142857143,0.515,0,0.515,2,0,3,0.127857142857143,0,0,,,-1,0,1,-10,10,0,0,1,,,-14.8008556869048
Evansville,David Ragland,Missouri Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,33,66,33,66,4,10,37,76,0.3274,0.3274,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,4,4,0,16,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.285714285714286,0.344,0,0.344,0,1,0,-0.058285714285714,2,0,,,1,0,1,-13,7,0,0,1,,,2.09890452565714
Fairfield,Chris Casey,MAAC,FALSE,FALSE,FALSE,FALSE,TRUE,,100,162,36,33,8,6,108,168,0.3913,0.5301,0,9,3,0,0,0,81,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.222222222222222,0,0,0,0,2,0,1,0,0,3,1,0.333333333333333,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.571428571428571,0.375,0,0.375,0,1,1,0.196428571428571,0,0,,,1,0,1,-10,-10,0,0,1,,,17.0325034914254
Fairleigh Dickinson,Jack Castleberry,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,28,37,28,37,3,10,31,47,0.3974,0.3974,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,3,0,9,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.230769230769231,0.394,0,0.394,0,1,0,-0.163230769230769,2,0,,,1,0,0,-13,7,0,0,1,,,13.6444477997231
FIU,Jeremy Ballard,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,98,124,98,124,7,5,105,129,0.4487,0.4487,1,8,8,0,0,0,64,1,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,0.375,1,0,0,5,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.583333333333333,0.303,0,0.303,0,3,1,0.280333333333333,0,0,,,1,0,1,-10,-10,0,44,1,,,9.8252130094
Florida,Todd Golden,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,133,69,76,33,9,4,142,73,0.6605,0.6967,0,7,4,4,3,2,49,1,0,0.571428571428571,0,0.5,9,0,0.5,0,0,6,2,0.75,36,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,2,2,0,1,1,0.333333333333333,0.333333333333333,0.5,0,0,4,2,4,1,1,5,4,0.714285714285714,1,0,2,0,2,0,0,3,0,0,9,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0.692307692307692,0.9,0,0.9,2,0,0,-0.207692307692308,1,0,,,1,1,0,37,37,0,0,1,,,92.5611031051026
Florida A&M,Charlie Ward,SWAC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,3,8,3,8,0.2727,0.2727,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0.272727272727273,0.452,-0.179272727272727,1,0,0,0,0,1,0,,,0,0,1,-21,-21,0,0,1,,,8.86468653085455
Florida Atlantic,John Jakus,American,FALSE,FALSE,FALSE,FALSE,TRUE,,18,16,18,16,8,5,26,21,0.5532,0.5532,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,1,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.615384615384615,0.529,0,0.529,0,0,1,0.086384615384615,0,0,,,1,0,0,-13,7,0,0,1,,,46.7633994448615
Florida Gulf Coast,Pat Chambers,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,240,226,50,48,5,7,245,233,0.5126,0.5,0,15,4,11,1,1,100,1,0,0.733333333333333,0,0.0714285714285714,1,0,0.0909090909090909,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144,12,0,0,1,1,1,1,0.25,1,1,1,1,7,0,4,1,0,7,4,0.466666666666667,0,1,1,0,2,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0.416666666666667,0.559,0,0.559,1,0,0,-0.142333333333333,1,0,,,1,0,1,-1,-1,0,0,1,,,11.3654251482563
Florida St.,Luke Loucks,ACC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,7,7,7,7,0.5,0.5,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.5,0.531,-0.031,1,0,0,0,0,1,0,,,0,0,0,-17,3,0,0,1,,,31.914854726
Fordham,Mike Magpayo,A10,FALSE,FALSE,TRUE,FALSE,TRUE,,89,63,0,0,9,4,98,67,0.5939,0.6923,0,6,1,0,0,0,36,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,3,1,2,1,0,4,2,0.666666666666667,1,0,1,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.692307692307692,0.364,0.328307692307692,0.618,1,0,2,0.074307692307692,0,0,,,1,0,1,-13,-13,0,0,1,,,39.8964483784667
Fresno St.,Vance Walberg,Mountain West,FALSE,FALSE,FALSE,FALSE,TRUE,,20,61,6,26,11,13,31,74,0.2952,0.3036,0,4,2,0,0,0,16,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,4,4,0,16,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0.458333333333333,0.217,0,0.217,0,1,1,0.241333333333333,0,0,,,1,0,1,-16,-16,0,0,1,,,13.2910353744
Furman,Bob Richey,Southern,FALSE,FALSE,FALSE,FALSE,TRUE,,181,81,181,81,9,4,190,85,0.6909,0.6909,0,9,9,0,1,0,81,1,0,0,0,0.125,1,0,0,0,0,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,5,1,0,0.666666666666667,1,0,1,0,8,1,6,4,0,9,6,1,1,0,8,0,8,0,0,9,0,0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.692307692307692,0.714,0,0.714,1,0,0,-0.021692307692308,1,0,,,1,0,0,4,4,0,-16,1,,,93.0621903739026
