Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Kent St.,,308,671,115,312,227,305,11.8181818181818,25.5454545454545,16.7272727272727,15,7.18181818181818,20.0909090909091,16.3636363636364,14,32.5454545454545,87.0909090909091,84.5454545454545,8,5,314,686,115,307,10.0909090909091,23.6363636363636,17.2727272727273,13.4545454545455,21.6363636363636,18,14,31.4545454545455
Kentucky,,361,757,98,308,185,246,12.1666666666667,29,17.8333333333333,10.25,7.58333333333333,16.5833333333333,15.8333333333333,19,40.5,83.75,66.3333333333333,8,4,274,715,85,299,9.91666666666667,23.25,13.9166666666667,11.8333333333333,16.8333333333333,11.5833333333333,6.58333333333333,25.6666666666667
La Salle,,279,676,57,190,172,233,13.25,22.9166666666667,13.75,14.0833333333333,6.25,17.4166666666667,12.25,7.91666666666667,32.3333333333333,65.5833333333333,73.6666666666667,4,9,317,688,109,290,10.8333333333333,22.1666666666667,16.3333333333333,11.5833333333333,16.9166666666667,16.8333333333333,10.8333333333333,30.1666666666667
Lafayette,,288,692,100,272,158,220,9.58333333333333,22.4166666666667,12.5833333333333,11.8333333333333,4.91666666666667,16,10.5,5.83333333333333,28.5,69.5,79.6666666666667,8,5,343,729,97,267,11.75,25.9166666666667,17,9.75,16.8333333333333,15.5,10.6666666666667,36
Lamar,,261,610,66,202,107,156,11.8,23.8,14.4,12.1,7.7,18.1,14.1,12.3,29.8,69.5,72,8,5,242,529,74,201,9.1,25.1,12.6,13.5,15.5,12.7,11.1,30.8
Le Moyne,,299,664,100,273,188,255,9.08333333333333,24.75,14.75,13.8333333333333,5.66666666666667,18.8333333333333,10.1666666666667,10.0833333333333,31.3333333333333,73.8333333333333,81.3333333333333,8,5,328,738,121,296,12.25,23.6666666666667,16.1666666666667,10.4166666666667,16.5833333333333,16.0833333333333,13.9166666666667,32
Lehigh,,261,612,87,261,131,193,8.45454545454545,21,11.7272727272727,13.4545454545455,7.09090909090909,16.7272727272727,12.3636363636364,11,24.5454545454545,67.2727272727273,76.2727272727273,8,5,303,642,60,172,12.6363636363636,26.6363636363636,12.1818181818182,13,16.9090909090909,16.5454545454545,10.3636363636364,34.9090909090909
Liberty,,258,514,98,250,74,121,6.55555555555556,22.1111111111111,17,9.33333333333333,6.44444444444444,15.2222222222222,13.5555555555556,6.55555555555556,34.6666666666667,76.4444444444444,72.4444444444444,8,5,235,519,64,185,11.6666666666667,25,12.3333333333333,12,16,10.7777777777778,7.44444444444444,33.5555555555556
Lindenwood,,259,614,51,193,176,267,13.6,26.6,12.9,13.4,8,18.7,12.8,15.3,36.2,74.5,78.2,8,5,272,617,78,230,12.1,27.2,14.6,13,19.4,15.1,12,36
Lipscomb,,296,688,116,337,133,178,9.27272727272727,24.3636363636364,17.9090909090909,13.1818181818182,8.09090909090909,17.8181818181818,19.0909090909091,13.7272727272727,31.0909090909091,76.4545454545455,79.1818181818182,7,6,313,675,89,258,11.3636363636364,28.1818181818182,13.4545454545455,14.2727272727273,15.7272727272727,14.8181818181818,11.8181818181818,37.4545454545455
