,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win
40,St. Thomas vs South Dakota St.,ML,St. Thomas ML,17,-122,0.995,30.93
41,Tulsa vs Florida Atlantic,ML,Tulsa ML,17,-125,0.995,30.6
42,Tulsa vs Florida Atlantic,OVER UNDER,Over 163.5,17,-110,0.9571428571428571,32.45
43,Southern Miss vs Marshall,ML,Southern Miss ML,16,400,0.5225681818181818,80
44,Winthrop vs Radford,SPREAD,Radford +2.5,16,-110,0.9429338327091136,30.55
45,Liberty vs Delaware,OVER UNDER,Under 132.5,16,-110,0.9429166666666666,30.55
46,New Mexico vs Utah St.,ML,New Mexico ML,16,-135,0.995,27.85
47,High Point vs Charleston Southern,OVER UNDER,Over 162.5,16,-110,0.9311679696754324,30.55
48,Youngstown St. vs Purdue Fort Wayne,SPREAD,Youngstown St. +2.5,15,-110,0.9214833759590793,28.64
49,Winthrop vs Radford,OVER UNDER,Over 160.5,15,-110,0.9105079064403221,28.64
50,Saint Joseph's vs George Washington,OVER UNDER,Under 154.5,15,-110,0.9008210180623973,28.64
51,Texas St. vs Georgia Southern,SPREAD,Georgia Southern -4.5,14,-110,0.8965526985916205,26.73
52,Louisiana Monroe vs Old Dominion,OVER UNDER,Over 153.5,14,-110,0.8931982438365417,26.73
53,Arkansas St. vs Coastal Carolina,OVER UNDER,Over 153.5,14,-110,0.8891990873693219,26.73
54,Arkansas St. vs Coastal Carolina,ML,Arkansas St. ML,14,-166,0.995,22.43
55,Western Carolina vs UNC Greensboro,OVER UNDER,Over 155.5,14,-110,0.8791044776119403,26.73
56,St. Thomas vs South Dakota St.,OVER UNDER,Over 156.5,13,-110,0.8658065604118299,24.82
57,Lipscomb vs Austin Peay,OVER UNDER,Over 157.5,13,-110,0.8605405861788841,24.82
58,Rice vs North Texas,OVER UNDER,Over 133.5,13,-110,0.854361890589878,24.82
59,Washington St. vs Oregon St.,OVER UNDER,Over 147.5,13,-110,0.854361890589878,24.82
60,Navy vs Lafayette,SPREAD,Lafayette +3.5,13,-110,0.851733689512929,24.82
61,Arkansas Pine Bluff vs Grambling St.,SPREAD,Grambling St. -6.5,13,-110,0.8512798023041315,24.82
62,American vs Bucknell,OVER UNDER,Over 141.5,13,-110,0.8496640253776059,24.82
63,South Dakota vs UMKC,OVER UNDER,Over 154.5,13,-110,0.8473123579506557,24.82
64,Arkansas Pine Bluff vs Grambling St.,OVER UNDER,Over 145.5,12,-110,0.8438095238095238,22.91
65,Northern Kentucky vs Green Bay,SPREAD,Green Bay +6.5,12,-110,0.8430537827627224,22.91
66,Texas St. vs Georgia Southern,OVER UNDER,Over 151.5,12,-110,0.8430042269853739,22.91
67,New Mexico vs Utah St.,SPREAD,New Mexico -2.5,12,-110,0.8401639344262295,22.91
68,Lehigh vs Loyola MD,OVER UNDER,Over 150.5,12,-110,0.8384645033244696,22.91
69,Santa Clara vs Pacific,OVER UNDER,Over 150.5,12,-110,0.8350961417344397,22.91
70,North Alabama vs Central Arkansas,OVER UNDER,Over 147.5,12,-110,0.8288947449529973,22.91
71,Wright St. vs Robert Morris,OVER UNDER,Over 147.5,12,-110,0.8247627409172624,22.91
72,Troy vs Georgia St.,OVER UNDER,Under 145.5,11,-110,0.8159320775817107,21
73,Tulsa vs Florida Atlantic,SPREAD,Tulsa -1.5,11,-110,0.8101549558512623,21
74,Washington St. vs Oregon St.,SPREAD,Oregon St. +1.5,11,-110,0.8093870346598202,21
75,Milwaukee vs Detroit Mercy,OVER UNDER,Over 160.5,11,-110,0.8071328007276914,21
76,New Mexico St. vs Louisiana Tech,OVER UNDER,Over 135.5,11,-110,0.8069967407403549,21
77,Gonzaga vs Portland,SPREAD,Portland +22.5,11,-110,0.8049731484950668,21
78,Maryland Eastern Shore vs South Carolina St.,OVER UNDER,Over 134.5,11,-110,0.8032219659655799,21
79,UTEP vs Sam Houston St.,OVER UNDER,Under 144.5,11,-110,0.7987938827310196,21
80,Youngstown St. vs Purdue Fort Wayne,OVER UNDER,Under 147.5,11,-110,0.7953237070470902,21
81,Saint Joseph's vs George Washington,SPREAD,Saint Joseph's -1.5,10,-110,0.7924459775230889,19.09
82,Gonzaga vs Portland,OVER UNDER,Over 152.5,10,-110,0.7896864881939509,19.09
83,St. Thomas vs South Dakota St.,SPREAD,St. Thomas -1.5,10,-110,0.7863286873309756,19.09
84,Army vs Colgate,SPREAD,Army +10.5,9,-110,0.7483781809129194,17.18
85,Arkansas St. vs Coastal Carolina,SPREAD,Arkansas St. -3.5,9,-110,0.7449620318445964,17.18
86,Loyola Marymount vs San Francisco,SPREAD,San Francisco -8.5,8,-110,0.7380605559907344,15.27
87,American vs Bucknell,SPREAD,Bucknell +8.5,8,-110,0.7273462702764486,15.27
88,Longwood vs Gardner Webb,SPREAD,Gardner Webb +12.5,8,-110,0.7273345606745751,15.27
89,Lehigh vs Loyola MD,SPREAD,Loyola MD -1.5,8,-110,0.7272788848317047,15.27
90,UTSA vs South Florida,SPREAD,South Florida -25.5,8,-110,0.7264840023471815,15.27
91,High Point vs Charleston Southern,SPREAD,Charleston Southern +13.5,8,-110,0.7256678940079084,15.27
92,Santa Clara vs Pacific,SPREAD,Pacific +6.5,7,-110,0.7131506690138482,13.36
93,San Diego vs Saint Mary's,SPREAD,San Diego +19.5,7,-110,0.7109426098778989,13.36
94,Lipscomb vs Austin Peay,SPREAD,Lipscomb +3.5,7,-110,0.7106873917560028,13.36
95,Wichita St. vs Charlotte,SPREAD,Charlotte +8.5,7,-110,0.7070333788217349,13.36
96,Liberty vs Delaware,SPREAD,Delaware +12.5,7,-110,0.7070333788217349,13.36
97,George Mason vs Duquesne,SPREAD,Duquesne +6.5,7,-110,0.6990676195243247,13.36
98,USC Upstate vs UNC Asheville,SPREAD,UNC Asheville -7.5,7,-110,0.6990676195243247,13.36
99,UTEP vs Sam Houston St.,SPREAD,UTEP +10.5,7,-110,0.6976127950718478,13.36
